"","location","date","total_cases","new_cases","total_deaths","new_deaths","icu_patients","hosp_patients","total_vaccinations","people_vaccinated","people_fully_vaccinated","population","population_density","gdp_per_capita"
"555","Africa",2020-02-13,0,0,0,0,0,0,0,0,0,1373486472,0,0
"556","Africa",2020-02-14,1,1,0,0,NA,NA,0,0,0,1373486472,NA,NA
"557","Africa",2020-02-15,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"558","Africa",2020-02-16,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"559","Africa",2020-02-17,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"560","Africa",2020-02-18,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"561","Africa",2020-02-19,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"562","Africa",2020-02-20,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"563","Africa",2020-02-21,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"564","Africa",2020-02-22,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"565","Africa",2020-02-23,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"566","Africa",2020-02-24,1,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"567","Africa",2020-02-25,2,1,0,0,NA,NA,0,0,0,1373486472,NA,NA
"568","Africa",2020-02-26,2,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"569","Africa",2020-02-27,2,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"570","Africa",2020-02-28,3,1,0,0,NA,NA,0,0,0,1373486472,NA,NA
"571","Africa",2020-02-29,3,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"572","Africa",2020-03-01,4,1,0,0,NA,NA,0,0,0,1373486472,NA,NA
"573","Africa",2020-03-02,8,4,0,0,NA,NA,0,0,0,1373486472,NA,NA
"574","Africa",2020-03-03,11,3,0,0,NA,NA,0,0,0,1373486472,NA,NA
"575","Africa",2020-03-04,21,10,0,0,NA,NA,0,0,0,1373486472,NA,NA
"576","Africa",2020-03-05,24,3,0,0,NA,NA,0,0,0,1373486472,NA,NA
"577","Africa",2020-03-06,43,19,0,0,NA,NA,0,0,0,1373486472,NA,NA
"578","Africa",2020-03-07,43,0,0,0,NA,NA,0,0,0,1373486472,NA,NA
"579","Africa",2020-03-08,83,40,1,1,NA,NA,0,0,0,1373486472,NA,NA
"580","Africa",2020-03-09,91,8,1,0,NA,NA,0,0,0,1373486472,NA,NA
"581","Africa",2020-03-10,104,13,2,1,NA,NA,0,0,0,1373486472,NA,NA
"582","Africa",2020-03-11,118,14,2,0,NA,NA,0,0,0,1373486472,NA,NA
"583","Africa",2020-03-12,134,16,3,1,NA,NA,0,0,0,1373486472,NA,NA
"584","Africa",2020-03-13,176,42,6,3,NA,NA,0,0,0,1373486472,NA,NA
"585","Africa",2020-03-14,254,78,7,1,NA,NA,0,0,0,1373486472,NA,NA
"586","Africa",2020-03-15,313,59,8,1,NA,NA,0,0,0,1373486472,NA,NA
"587","Africa",2020-03-16,399,86,8,0,NA,NA,0,0,0,1373486472,NA,NA
"588","Africa",2020-03-17,488,89,11,3,NA,NA,0,0,0,1373486472,NA,NA
"589","Africa",2020-03-18,604,116,17,6,NA,NA,0,0,0,1373486472,NA,NA
"590","Africa",2020-03-19,784,180,20,3,NA,NA,0,0,0,1373486472,NA,NA
"591","Africa",2020-03-20,972,188,26,6,NA,NA,0,0,0,1373486472,NA,NA
"592","Africa",2020-03-21,1172,200,36,10,NA,NA,0,0,0,1373486472,NA,NA
"593","Africa",2020-03-22,1437,265,48,12,NA,NA,0,0,0,1373486472,NA,NA
"594","Africa",2020-03-23,1818,381,57,9,NA,NA,0,0,0,1373486472,NA,NA
"595","Africa",2020-03-24,2250,432,64,7,NA,NA,0,0,0,1373486472,NA,NA
"596","Africa",2020-03-25,2773,523,73,9,NA,NA,0,0,0,1373486472,NA,NA
"597","Africa",2020-03-26,3326,553,91,18,NA,NA,0,0,0,1373486472,NA,NA
"598","Africa",2020-03-27,3885,559,115,24,NA,NA,0,0,0,1373486472,NA,NA
"599","Africa",2020-03-28,4225,340,134,19,NA,NA,0,0,0,1373486472,NA,NA
"600","Africa",2020-03-29,4785,560,152,18,NA,NA,0,0,0,1373486472,NA,NA
"601","Africa",2020-03-30,5196,411,173,21,NA,NA,0,0,0,1373486472,NA,NA
"602","Africa",2020-03-31,5781,585,200,27,NA,NA,0,0,0,1373486472,NA,NA
"603","Africa",2020-04-01,6380,599,234,34,NA,NA,0,0,0,1373486472,NA,NA
"604","Africa",2020-04-02,7031,651,287,53,NA,NA,0,0,0,1373486472,NA,NA
"605","Africa",2020-04-03,7912,881,331,44,NA,NA,0,0,0,1373486472,NA,NA
"606","Africa",2020-04-04,8589,677,382,51,NA,NA,0,0,0,1373486472,NA,NA
"607","Africa",2020-04-05,9295,706,442,60,NA,NA,0,0,0,1373486472,NA,NA
"608","Africa",2020-04-06,9998,703,487,45,NA,NA,0,0,0,1373486472,NA,NA
"609","Africa",2020-04-07,10632,634,533,46,NA,NA,0,0,0,1373486472,NA,NA
"610","Africa",2020-04-08,11419,787,573,40,NA,NA,0,0,0,1373486472,NA,NA
"611","Africa",2020-04-09,12248,829,627,54,NA,NA,0,0,0,1373486472,NA,NA
"612","Africa",2020-04-10,12905,657,692,65,NA,NA,0,0,0,1373486472,NA,NA
"613","Africa",2020-04-11,13616,711,742,50,NA,NA,0,0,0,1373486472,NA,NA
"614","Africa",2020-04-12,14489,873,788,46,NA,NA,0,0,0,1373486472,NA,NA
"615","Africa",2020-04-13,15256,767,833,45,NA,NA,0,0,0,1373486472,NA,NA
"616","Africa",2020-04-14,16227,971,873,40,NA,NA,0,0,0,1373486472,NA,NA
"617","Africa",2020-04-15,17192,965,910,37,NA,NA,0,0,0,1373486472,NA,NA
"618","Africa",2020-04-16,18360,1168,965,55,NA,NA,0,0,0,1373486472,NA,NA
"619","Africa",2020-04-17,19763,1403,1015,50,NA,NA,0,0,0,1373486472,NA,NA
"620","Africa",2020-04-18,21072,1309,1058,43,NA,NA,0,0,0,1373486472,NA,NA
"621","Africa",2020-04-19,22271,1199,1120,62,NA,NA,0,0,0,1373486472,NA,NA
"622","Africa",2020-04-20,23431,1160,1159,39,NA,NA,0,0,0,1373486472,NA,NA
