Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population
Afghanistan,8/31/2021,1201286,770542,430744,8/31/2021,4,37466414,2.342,652230,57.4,153220,393.59,7118,18.28
Albania,8/31/2021,1444764,818955,625809,8/31/2021,8,3088385,0.235,27398,112.7,145333,5050.14,2495,86.7
Algeria,8/31/2021,4146091,3421279,724812,8/31/2021,12,43576691,1.408,2381740,18.3,195574,446,5240,11.95
Andorra,8/31/2021,91660,51044,40616,8/31/2021,20,85645,-0.095,468,183,15032,19455.12,130,168.25
Angola,8/31/2021,1869933,1110558,731010,8/31/2021,24,33642646,3.378,1246700,27,47331,144.01,1210,3.68
Antigua and Barbuda,8/31/2021,73700,40309,33391,8/31/2021,28,99175,1.173,443,223.9,1713,1749.23,44,44.93
Argentina,8/31/2021,42355780,27797557,14132981,8/31/2021,32,45864941,0.835,2736690,16.8,5173531,11446.94,111383,246.45
Armenia,8/31/2021,275138,176552,98586,8/31/2021,51,3011609,-0.345,28203,106.8,242135,8171.31,4844,163.47
Australia,8/31/2021,19362666,12041624,7044117,8/31/2021,36,25809973,1.306,7682300,3.4,52612,206.32,1002,3.93
Austria,8/31/2021,10438639,5495287,5196075,8/31/2021,40,8884864,0.32,82445,107.8,682605,7668.8,10579,118.85
Azerbaijan,8/31/2021,6689031,4043744,2645287,8/31/2021,31,10282283,0.71,82629,124.4,421103,4153.23,5592,55.15
Bahamas,8/31/2021,129017,73726,55291,8/31/2021,44,352655,0.844,10010,35.2,18139,4612.66,381,96.89
Bahrain,8/31/2021,2485464,1145386,1087473,8/31/2021,48,1526929,0.902,760,2009.1,272453,16011.81,1388,81.57
Bangladesh,8/31/2021,26065757,18131561,7410480,8/31/2021,50,164098818,0.95,130170,1260.7,1500618,911.18,26195,15.91
Barbados,8/31/2021,201611,107838,93773,8/31/2021,52,301865,0.277,430,702,4931,1715.88,48,16.7
Belarus,8/31/2021,2833242,1561907,1271335,8/31/2021,112,9441842,-0.293,202900,46.5,480364,5083.58,3768,39.88
Belgium,8/31/2021,16157160,8412227,8100250,8/31/2021,56,11778842,0.591,30278,389,1182810,10265.27,25374,220.21
Belize,8/31/2021,225615,152484,64901,8/31/2021,84,405633,1.665,22806,17.8,16012,4026.88,356,89.53
Bhutan,8/31/2021,1036834,561411,475423,8/31/2021,64,857423,0.989,38394,22.3,2596,336.44,3,0.39
Bolivia,8/31/2021,5950132,3890613,2652059,8/31/2021,68,11758869,1.387,1083301,10.9,490056,4198.19,18411,157.72
Bosnia and Herzegovina,8/31/2021,928126,567198,360928,8/31/2021,70,3824782,-0.213,51187,74.7,213379,6503.84,9792,298.46
Botswana,8/31/2021,434644,252722,181922,8/31/2021,72,2350667,1.433,566730,4.1,156927,6673.12,2261,96.15
Brazil,8/31/2021,191502128,134521410,61416222,8/31/2021,76,213445417,0.652,8358140,25.5,20741815,9758.13,579308,272.54
Brunei,8/31/2021,308219,219145,89074,8/31/2021,96,471103,1.477,5265,89.5,2641,603.69,8,1.83
Bulgaria,8/31/2021,2299118,1089066,1163504,8/31/2021,100,6919180,-0.666,108489,63.8,453689,6526.51,18840,271.02
Burma,8/31/2021,6253687,4456857,1796830,8/31/2021,104,57069099,0.813,653508,87.3,#N/A,#N/A,#N/A,#N/A
Cambodia,8/31/2021,18912634,10693964,8458093,8/31/2021,116,17304363,1.34,176515,98,92616,553.96,1892,11.32
Cameroon,8/31/2021,426590,348238,78352,8/31/2021,120,28524175,2.766,472710,60.3,83425,314.27,1350,5.09
Canada,8/31/2021,53321727,27896091,25361100,8/31/2021,124,37943231,0.769,9093507,4.2,1486436,3938.4,26890,71.25
